source_id,research_problem,method,dataset_benchmark,document_type,contradiction_definition,contradiction_types,entity_resolution,temporal_modeling,status_modeling,provenance,graph_representation,semantic_model,fusion_method,uncertainty_handling,baselines,evaluation_metrics,key_results,limitations,relevance_hyconcheck,relation_F,relation_H,open_gap,quality_transparency,quality_reproducibility,quality_evaluation,quality_relevance,quality_evidence,anticipates_hyconcheck
SRC-0001,Definition und Erkennung von Widersprüchen zwischen Textpaaren (RTE-Setting),"Regel-/merkmalsbasiertes System auf Dependenzgraphen mit Ereignis-Koreferenz-Filter (Topikalität), Merkmale für Antonymie, Negation, Zahlen, Faktivität, Struktur","RTE1–RTE3 (mit Widerspruchsannotation), eigener Negationskorpus (Neg dev/test)","Satzpaare (Nachrichten, RTE)","Zwei Sätze widersprechen sich, wenn sie äußerst unwahrscheinlich gleichzeitig wahr sein können; Ereignis-Koreferenz vorausgesetzt","Typologie: Antonymie, Negation, numerische Diskrepanz, faktive Verben, Struktur, lexikalischer Kontrast, Weltwissen → Fakt und Wert; teilweise Modalität und Norm",Ereignis-/Entitätskoreferenz als zentrale Voraussetzung (Topikalitätsfilter),n/a,n/a,n/a,n/a,symbolisch/merkmalsbasiert (kein neuronales Modell),n/a,n/a,Entailment-Systeme; Vergleich mit Harabagiu et al. 2006,"Precision, Recall (Accuracy für Negationskorpus)","RTE3 dev: P 61,9 % / R 31,7 %; RTE1 test: P 42,2 % / R 26,2 %; Negationskorpus test: P 63,0 % / R 62,5 % (Tabelle im Volltext)","Tiefere Inferenz (Weltwissen, Struktur) nicht abgedeckt; Widerspruch ist selten; Kontextarmut der RTE-Paare",hoch – Definition und Typologie als Referenz für Taxonomie V1; Koreferenz als Vorbedingung stützt F2/H2,"F1, F2, F4",H2 (Stand der Technik: Koreferenz notwendig),"Nur Satzpaare, keine Dokumente, keine Zeit-/Statusdimension",hoch,mittel,mittel,hoch,hoch,nein
SRC-0002,Contradiction Detection über funktionale Relationen in Webtext,"AuContraire: EM-artige Entdeckung funktionaler Phrasen (BornIn(Person)=Place) aus Open-IE-Extraktionen; Filter für Meronyme, Synonyme, Mehrdeutigkeit","Eigener Webkorpus scheinbarer Widersprüche (TextRunner-Extraktionen), 10 % handannotiert; freigegeben",Webtext (Sätze),Logisch: zwei Belegungen einer Funktion mit verschiedenen Werten; scheinbar vs. echt,Wertkonflikte funktionaler Relationen → Fakt und Wert,Synonyme/Meronyme/Mehrdeutigkeit der Argumente entscheidend; ~99 % scheinbarer Widersprüche sind konsistent,n/a,n/a,n/a,n/a,"statistisch (EM, Open IE)",n/a,n/a,ohne Iteration (No Iteration),"Precision/Recall, AUC der PR-Kurve","19 % AUC-Gewinn für Funktionalitätserkennung, 31 % für Ambiguität nach 5 EM-Iterationen; nahezu alle scheinbaren Widersprüche unecht",Nur funktionale Relationen; Hintergrundwissen erforderlich,"hoch – Kernbefund: Entitäts-/Referenzauflösung erzeugt sonst falsche Konflikte (H2, H7)","F2, F4, F5","H2, H7 (Stand der Technik)",Keine temporale Fortschreibung; nur Weltwissen-Tripel,hoch,mittel,mittel,hoch,hoch,nein
SRC-0004,Kontextbasierte Embeddings trennen Antonyme nicht – Widerspruchserkennung auf Satzpaaren,"Contradiction-specific Word Embedding (CWE) aus Paraphrase-Datenbank, neuronales Netz",SemEval 2014 (Satzpaare),Satzpaare,unklar (Abstract-Basis),Antonymie-basiert → Fakt und Wert (lexikalisch),n/a,n/a,n/a,n/a,n/a,Wort-Embeddings + neuronales Netz,n/a,n/a,kontextbasierte Embeddings; Top-System SemEval 2014,"Accuracy (3 Klassen, Widerspruchsklasse)","Widerspruchsklasse 75,97 % → 82,08 % Accuracy (Abstract)",unklar (Abstract-Basis),mittel – lexikalische Kontrastmodellierung als B2-Komponente,F2,,"Satzpaare, keine Dokumente",nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),mittel,mittel,nein
SRC-0005,Contradiction Detection für deutsche Texte ohne deutsche Trainingsdaten,"Maschinelle Übersetzung von SNLI nach Deutsch, vier Klassifikatoren, Seq2Seq-basierte Satz-Embeddings",SNLI (110k Paare) maschinell übersetzt,Satzpaare (Bildbeschreibungen),SNLI-Labels,SNLI (allgemein),n/a,n/a,n/a,n/a,n/a,"Satz-Embeddings, Klassifikatoren",n/a,n/a,Vier Klassifikatoren auf Original und Übersetzung,unklar (Abstract-Basis),Validierung maschineller Übersetzung als Datengenerierung (Abstract),unklar (Abstract-Basis),"mittel – Datengenerierung für deutschsprachige Projektdokumente (AP2), B3-Baseline für Deutsch",F1,,"Nur Satzpaare, keine Domänendokumente",nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),mittel,mittel,nein
SRC-0006,Welche linguistischen Eigenschaften machen Widersprüche für ML-Modelle schwer?,Linguistische Fehleranalyse eines XLM-RoBERTa-basierten CD-Modells auf SNLI und Internet-Textpaaren,SNLI (übersetzt) + eigene Sammlung von Textpaaren aus Internetquellen,Satz-/Absatzpaare,NLI-Labels,"Antonyme/Homonyme, Präpositionen, Verben, Negation, unvollständige Sätze, lange Absätze",n/a,n/a,n/a,n/a,n/a,XLM-RoBERTa,n/a,n/a,n/a (Analyse),qualitative/quantitative Fehlerkategorien,"Modell verkennt semantische Bedeutung von Präpositionen/Verben, kontextabhängige Antonyme/Homonyme; Probleme bei langen Absätzen und seltenen Wörtern","Ein Modell, zwei Datensätze",hoch – Fehlerklassen für F4 und Fehlertaxonomie (Negation/Modality Failure),F4,,Keine Dokument-/Zeit-/Statusdimension,mittel,niedrig,mittel,mittel,mittel,nein
SRC-0007,Widersprüche in Finanzberichten automatisch finden,"Transformer mit POS-informiertem Pretraining, Fine-Tuning auf SNLI + proprietärem Finanz-Widerspruchsdatensatz",Proprietärer Finanz-Widerspruchsdatensatz (nicht öffentlich) + SNLI,Finanzberichte (Satzpaare),unklar (Abstract-Basis),v. a. Zahlen-/Wertwidersprüche in Berichten (Abstract) → Fakt und Wert,n/a,n/a,n/a,n/a,n/a,Transformer (allgemeine Embeddings besser als finanzspezifische),n/a,n/a,mehrere (nicht spezifiziert im Abstract),F1,"F1 89,55 % auf realem Finanzdatensatz (Abstract)","Proprietäre Daten (laut Abstract), Reproduzierbarkeit dadurch eingeschränkt; Volltext nicht geprüft",mittel – Domänenanpassung; Statusberichte ähnlich,F1,,"Nur Satzpaare, nicht dokumentübergreifend",nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),nicht bewertet (Abstract-Basis),mittel,mittel,nein
SRC-0008,Widersprüche zwischen klinischen Aussagen ohne teure Annotation erkennen,Distant Supervision: SNOMED-Ontologie erzeugt Seed potenzieller Widersprüche über 22 Mio. Abstracts; schwach überwachte Transformer,"SNOMED-Datensatz (automatisch), Evaluation auf mehreren medizinischen CD-Datensätzen",Satzpaare aus PubMed-Abstracts,Gegensätzliche Outcomes zum selben Thema (ontologiegestützt),Outcome-Widersprüche → Fakt und Wert,Ontologie-Grounding der Terme (SNOMED) als Entitätsbezug,n/a,n/a,n/a,n/a,SOTA-Transformer (schwach überwacht),n/a,n/a,Modelle ohne SNOMED-Fine-Tuning,unklar,Konsistente Verbesserungen über SOTA-Modelle und Datensätze (Volltext),"Nur SNOMED-Terme; Ontologie nicht Ground Truth; nur Einzelsätze, keine Abstract-Vergleiche",mittel – ontologiebasierte Entitätsbindung; Grenzen der Satzebene,"F1, F2",H2 (Stand der Technik),Dokument-/Abstract-Ebene offen; keine Zeit/Status,hoch,mittel,hoch,mittel,hoch,nein
SRC-0009,Können LLMs Selbstwidersprüche in langen Dokumenten erkennen?,"Human-machine-Framework zur Einfügung von Selbstwidersprüchen; Evaluation von GPT-3.5, GPT-4, PaLM2, LLaMA-2 mit Evidenzabgleich","ContraDoc: 449 selbstwidersprüchliche Dokumente (CNN/DailyMail, NarrativeQA, WikiText), öffentlich","Nachrichten, Erzählungen, Wikipedia (lange Dokumente)","Dokument enthält Aussagen, die inhärent konfligieren (Selbstwiderspruch)","Annotierte Selbstwiderspruchstypen (u. a. Relation, Zahlen, Ereignisse) und Scope (lokal/global) → Fakt und Wert, Zeit und Status teilweise",n/a,n/a,n/a,Evidenzspannen je Dokument annotiert,n/a,LLMs (Prompting),n/a,n/a,Menschliche Leistung; vier LLMs,"Accuracy, Evidenzkorrektheit (z. B. 92,7 % korrekte Evidenz bei GPT-4 für gefundene Fälle)","GPT-4 am besten, übertrifft Menschen, bleibt unzuverlässig bei nuancierten Fällen; Yes-Bias bei PaLM2/LLaMA-2",Automatisch eingefügte Widersprüche wirken nicht immer natürlich; wenige Beispiele für einzelne Typen; nur Englisch,hoch – erster Dokumentbenchmark mit Typen/Evidenz; Vorlage für AP2-Generator,"F1, F4",H1 (Stand der Technik: LLM-Baseline B4),Nur Einzeldokument; keine Zeit-/Status-/Versionsdimension; keine dokumentübergreifenden Fälle,hoch,hoch,hoch,hoch,hoch,teilweise
SRC-0010,Inkonsistente CoT-Antworten bei dokumentweiter Selbstwiderspruchserkennung,"Zweistufig: SFT mit Lehrermodell + RL mit Reward für Referenzabdeckung/Konsistenz (Llama-3.1-8B, Qwen)",ContraDoc,lange Dokumente (ContraDoc),wie ContraDoc,wie ContraDoc,n/a,n/a,n/a,n/a,n/a,LLM (8B) mit SFT+RL,n/a,n/a,"Zero-Shot, CoT-Prompting","Accuracy, Consistency (wiederholte Antworten), F1","Llama-3.1-8B: Accuracy 38,5 % → 51,1 %, Consistency 59,6 % → 76,2 %",Nur ~8B-Modelle; nur ContraDoc; nur Text,"mittel – zeigt Instabilität von LLM-Reasoning (Bezug F6/Kalibrierung, B4)","F3, F6",H6 (Stand der Technik),Nur Einzeldokument,hoch,hoch,hoch,mittel,hoch,nein
SRC-0011,Können LMs Inkonsistenzen in langen technischen Dokumenten (Audit) finden?,"Expertengesetzte Inkonsistenzen; Modelle listen Antworten mit Evidenzspannen; LLM-Grader (κ = 0,96 zu manueller Bewertung)","FIND: 375 Test-/125 Dev-Dokumente (Finanzberichte, ökonomische Analysen, arXiv-Papers), Typtaxonomie, Modalität Text/Tabelle, Scope kurz/lang","Finanzberichte/Filings, wissenschaftliche Artikel",Inkonsistenz = Konflikt zwischen Informationseinheiten im Dokument (Typen nach Informationsart),"Hochstufige Typen nach Informationsart mit Achsen Modalität, Scope, Anzahl Evidenzspannen → Fakt und Wert (Zahlen/Tabellen), weitere",n/a,n/a,n/a,Evidenzspannen als Pflichtausgabe,n/a,"LLMs (gpt-5, o3, Gemini 2.5, Sonnet 4, gemma-3, gpt-oss)",n/a,n/a,Modellvergleich (kein klassisches Verfahren),"Task Score (Recall eingefügter Inkonsistenzen), Precision, Evidence/Description Score","gpt-5 findet 64 % der eingefügten Inkonsistenzen; Precision ~52,5 %; auf 50 arXiv-Papers 136/196 Vorschläge legitim","Token-Limits (Truncation bei 83/375 Dokumenten), keine Sättigung; eingefügte Inkonsistenzen","hoch – Benchmark-Design (Typen, Evidenz, Scope), Dokumenttypen ähnlich Statusberichten","F1, F4",H1 (LLM-Baseline),Nur Einzeldokument; keine Versions-/Zeitmodellierung; keine Entity Resolution,hoch,hoch,hoch,hoch,hoch,teilweise
SRC-0012,Konsistenz in Dialogen messen (Widersprüche zwischen Äußerungen),DECODE-Datensatz (human-human/human-bot); strukturierter Ansatz: Äußerungspaare vor Transformer-NLI,DECODE (öffentlich),Dialoge,Äußerung widerspricht früherer Äußerung derselben Sprecherin/desselben Sprechers,allgemein (Dialog),n/a,n/a,n/a,n/a,n/a,Transformer-NLI (RoBERTa),n/a,n/a,"Unstrukturierte Transformer, NLI-Daten (SNLI/MNLI/DNLI)",Accuracy; Korrelation mit menschlichen Urteilen,DECODE-Training deutlich besser als NLI-Daten; strukturierter Ansatz robuster out-of-distribution,"Dialogdomäne; Mehrheitsbaseline 95,7 % auf einem Split zeigt Klassenungleichgewicht",mittel – strukturierte Paarbildung als Muster für Aussagepaare in Protokollen,F1,,Dialog statt Projektdokumente; keine Zeit/Status,hoch,hoch,hoch,mittel,hoch,nein
SRC-0013,Widerspruch zwischen Claims in Tweets als Gerüchtesignal,3-Wege-RTE-Klassifikation mit String-/POS-Ähnlichkeitsmerkmalen (lokales Alignment),"Twitter-Korpora (unabhängige Tweets, Threads)",Microposts,Textuelle Widersprechung eines Claims; zwei Kontexte (unabhängig vs. Thread),allgemein,n/a,n/a,n/a,n/a,n/a,Merkmalsbasierte Klassifikatoren,n/a,n/a,vorherige Systeme mit expliziter Repräsentation,"F1/Accuracy (Volltext, Details im Papier)",State of the art (2016) mit einfachen Ähnlichkeitsmerkmalen,Verrauschte Kurztexte; Domäne,niedrig–mittel – Unterscheidung unabhängige Quellen vs. Konversationsstruktur ist analog zu dokumentübergreifend vs. dokumentintern,F1,,Keine Dokumente,mittel,niedrig,mittel,niedrig,mittel,nein
