work_package,ap_title,subactivity,planned_hours,planned_artifact
AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Rechercheprotokoll und Suchstrategie für Stand der Technik definieren,16,Rechercheprotokoll
AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren",32,Literaturmatrix NLI
AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren",32,Literaturmatrix Graph/Temporal
AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Stand-der-Technik-Vergleichsmatrix und technische Forschungslücke ableiten,24,SOTA-Vergleichsmatrix
AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Fünf Obertypen der Widerspruchstaxonomie formal definieren,32,Taxonomie-Definitionen
AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln,32,Entscheidungsregeln
AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Grenzfälle, Positiv-/Negativbeispiele und Abgrenzungen konstruieren",16,Grenzfallkatalog
AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Taxonomie v1, Forschungsfragen und Hypothesen konsolidieren",16,TAXONOMY_V1 / Research Design
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Benchmark-Datenschema und Provenienzfelder spezifizieren,24,Benchmark-Schema
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Architektur des synthetischen Testdatengenerators entwickeln,32,Generator-Design
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Basisdokumente und konfliktfreie Szenarien implementieren,40,Generator v1
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Fakt-/Wert- und Verantwortlichkeitskonflikte implementieren,32,Konfliktgenerator v1
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Zeit-/Status- und Versionsfälle implementieren,40,Temporal/Status Generator
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Abhängigkeits-/Schnittstellenfälle implementieren,32,Dependency Generator
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Schwierige Gegenbeispiele, Hard Negatives und Mehrdeutigkeiten erzeugen",32,Hard-Negative-Satz
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Ground-Truth- und Annotationsleitfaden entwickeln,24,Annotation Guide
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Train-/Validation-/Test-Split und Leakage-Schutz implementieren,20,Split-Manifest
AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth","Benchmark-Pilot erzeugen, prüfen und Fehler des Generators korrigieren",24,Benchmark Pilot
AP3,Baselines und Evaluationspipeline,"Reproduzierbare Evaluationspipeline, Konfigurationen und Metrikberechnung entwickeln",40,Evaluation Framework
AP3,Baselines und Evaluationspipeline,B0 String-/Keyword-Referenz implementieren und testen,24,Baseline B0
AP3,Baselines und Evaluationspipeline,B1 regelbasiertes Konsistenzverfahren implementieren und testen,48,Baseline B1
AP3,Baselines und Evaluationspipeline,B2 Embedding-basierte Kandidatensuche/Klassifikation implementieren,48,Baseline B2
AP3,Baselines und Evaluationspipeline,"B3 NLI-Baseline implementieren, Modelle vergleichen und Schwellenwerte validieren",64,Baseline B3
AP3,Baselines und Evaluationspipeline,B4 direkte LLM-Klassifikation mit strukturiertem Output implementieren und testen,48,Baseline B4
AP3,Baselines und Evaluationspipeline,"Gemeinsame Experimentkonfiguration, Logging und Rohresultatspeicherung härten",32,Experiment Infrastructure
AP3,Baselines und Evaluationspipeline,Baseline-Experimentserien auf Development/Validation reproduzierbar ausführen,40,Baseline Results
AP3,Baselines und Evaluationspipeline,False-Positive-/False-Negative-Analyse der Baselines durchführen,32,Baseline Error Analysis
AP3,Baselines und Evaluationspipeline,Baselinevergleich konsolidieren und stärkste Referenzverfahren festlegen,24,Baseline Report
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung","Extraktionsschema für Entitäten, Attribute, Zeit, Status und Provenienz spezifizieren",24,Extraction Schema
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung",Entitätsextraktion für heterogene Dokumenttypen implementieren und testen,48,Entity Extraction
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung",Entity-Resolution-Verfahren entwickeln und Namens-/Aliasvarianten untersuchen,64,Entity Resolution
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung",Attribut- und Wertnormalisierung einschließlich numerischer Angaben entwickeln,40,Attribute Normalization
AP4,"Entitäts-, Attribut-, Zeit-, Status- und Provenienzverarbeitung",Zeitangaben extrahieren und absolute/relative Zeitbezüge normalisieren,72,Temporal Normalization
