date,weekday,iso_week,year,month,work_package,ap_title,planned_activity_raw,subactivity,planned_artifact,planned_hours,category,source_label
2026-09-01,Dienstag,36,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Rechercheprotokoll und Suchstrategie für Stand der Technik definieren (geplante Etappe 1/2),Rechercheprotokoll und Suchstrategie für Stand der Technik definieren,Rechercheprotokoll,8,AP,AP1
2026-09-02,Mittwoch,36,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Rechercheprotokoll und Suchstrategie für Stand der Technik definieren (geplante Etappe 2/2),Rechercheprotokoll und Suchstrategie für Stand der Technik definieren,Rechercheprotokoll,8,AP,AP1
2026-09-03,Donnerstag,36,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren (geplante Etappe 1/4)","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren",Literaturmatrix NLI,8,AP,AP1
2026-09-04,Freitag,36,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren (geplante Etappe 2/4)","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren",Literaturmatrix NLI,8,AP,AP1
2026-09-07,Montag,37,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren (geplante Etappe 3/4)","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren",Literaturmatrix NLI,8,AP,AP1
2026-09-08,Dienstag,37,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren (geplante Etappe 4/4)","Literatur zu NLI, Contradiction Detection und Fact Verification analysieren",Literaturmatrix NLI,8,AP,AP1
2026-09-09,Mittwoch,37,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren (geplante Etappe 1/4)","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren",Literaturmatrix Graph/Temporal,8,AP,AP1
2026-09-10,Donnerstag,37,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren (geplante Etappe 2/4)","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren",Literaturmatrix Graph/Temporal,8,AP,AP1
2026-09-11,Freitag,37,2026,9,,,"Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten. Retrospektiver Forecast-Platzhalter, kein Ist-Nachweis.","Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten. Retrospektiver Forecast-Platzhalter, kein Ist-Nachweis.",,0,BUFFER,Puffer / kein FuE
2026-09-14,Montag,38,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren (geplante Etappe 3/4)","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren",Literaturmatrix Graph/Temporal,8,AP,AP1
2026-09-15,Dienstag,38,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren (geplante Etappe 4/4)","Literatur zu Temporal Reasoning, Statusmodellen und Evidenzgraphen analysieren",Literaturmatrix Graph/Temporal,8,AP,AP1
2026-09-16,Mittwoch,38,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Stand-der-Technik-Vergleichsmatrix und technische Forschungslücke ableiten (geplante Etappe 1/3),Stand-der-Technik-Vergleichsmatrix und technische Forschungslücke ableiten,SOTA-Vergleichsmatrix,8,AP,AP1
2026-09-17,Donnerstag,38,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Stand-der-Technik-Vergleichsmatrix und technische Forschungslücke ableiten (geplante Etappe 2/3),Stand-der-Technik-Vergleichsmatrix und technische Forschungslücke ableiten,SOTA-Vergleichsmatrix,8,AP,AP1
2026-09-18,Freitag,38,2026,9,,,"Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.","Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.",,0,BUFFER,Puffer / kein FuE
2026-09-21,Montag,39,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Stand-der-Technik-Vergleichsmatrix und technische Forschungslücke ableiten (geplante Etappe 3/3),Stand-der-Technik-Vergleichsmatrix und technische Forschungslücke ableiten,SOTA-Vergleichsmatrix,8,AP,AP1
2026-09-22,Dienstag,39,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Fünf Obertypen der Widerspruchstaxonomie formal definieren (geplante Etappe 1/4),Fünf Obertypen der Widerspruchstaxonomie formal definieren,Taxonomie-Definitionen,8,AP,AP1
2026-09-23,Mittwoch,39,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Fünf Obertypen der Widerspruchstaxonomie formal definieren (geplante Etappe 2/4),Fünf Obertypen der Widerspruchstaxonomie formal definieren,Taxonomie-Definitionen,8,AP,AP1
2026-09-24,Donnerstag,39,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Fünf Obertypen der Widerspruchstaxonomie formal definieren (geplante Etappe 3/4),Fünf Obertypen der Widerspruchstaxonomie formal definieren,Taxonomie-Definitionen,8,AP,AP1
2026-09-25,Freitag,39,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Fünf Obertypen der Widerspruchstaxonomie formal definieren (geplante Etappe 4/4),Fünf Obertypen der Widerspruchstaxonomie formal definieren,Taxonomie-Definitionen,8,AP,AP1
2026-09-28,Montag,40,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln (geplante Etappe 1/4),Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln,Entscheidungsregeln,8,AP,AP1
2026-09-29,Dienstag,40,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln (geplante Etappe 2/4),Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln,Entscheidungsregeln,8,AP,AP1
2026-09-30,Mittwoch,40,2026,9,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln (geplante Etappe 3/4),Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln,Entscheidungsregeln,8,AP,AP1
2026-10-01,Donnerstag,40,2026,10,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie",Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln (geplante Etappe 4/4),Ein-/Ausschlusskriterien und Entscheidungstests je Obertyp entwickeln,Entscheidungsregeln,8,AP,AP1
2026-10-02,Freitag,40,2026,10,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Grenzfälle, Positiv-/Negativbeispiele und Abgrenzungen konstruieren (geplante Etappe 1/2)","Grenzfälle, Positiv-/Negativbeispiele und Abgrenzungen konstruieren",Grenzfallkatalog,8,AP,AP1
2026-10-05,Montag,41,2026,10,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Grenzfälle, Positiv-/Negativbeispiele und Abgrenzungen konstruieren (geplante Etappe 2/2)","Grenzfälle, Positiv-/Negativbeispiele und Abgrenzungen konstruieren",Grenzfallkatalog,8,AP,AP1
2026-10-06,Dienstag,41,2026,10,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Taxonomie v1, Forschungsfragen und Hypothesen konsolidieren (geplante Etappe 1/2)","Taxonomie v1, Forschungsfragen und Hypothesen konsolidieren",TAXONOMY_V1 / Research Design,8,AP,AP1
2026-10-07,Mittwoch,41,2026,10,AP1,"Lösungsraum, Stand der Technik und Widerspruchstaxonomie","Taxonomie v1, Forschungsfragen und Hypothesen konsolidieren (geplante Etappe 2/2)","Taxonomie v1, Forschungsfragen und Hypothesen konsolidieren",TAXONOMY_V1 / Research Design,8,AP,AP1
2026-10-08,Donnerstag,41,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Benchmark-Datenschema und Provenienzfelder spezifizieren (geplante Etappe 1/3),Benchmark-Datenschema und Provenienzfelder spezifizieren,Benchmark-Schema,8,AP,AP2
2026-10-09,Freitag,41,2026,10,,,"Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.","Geplanter Puffer für Administration, Urlaub oder nicht begünstigte Tätigkeiten.",,0,BUFFER,Puffer / kein FuE
2026-10-12,Montag,42,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Benchmark-Datenschema und Provenienzfelder spezifizieren (geplante Etappe 2/3),Benchmark-Datenschema und Provenienzfelder spezifizieren,Benchmark-Schema,8,AP,AP2
2026-10-13,Dienstag,42,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Benchmark-Datenschema und Provenienzfelder spezifizieren (geplante Etappe 3/3),Benchmark-Datenschema und Provenienzfelder spezifizieren,Benchmark-Schema,8,AP,AP2
2026-10-14,Mittwoch,42,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Architektur des synthetischen Testdatengenerators entwickeln (geplante Etappe 1/4),Architektur des synthetischen Testdatengenerators entwickeln,Generator-Design,8,AP,AP2
2026-10-15,Donnerstag,42,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Architektur des synthetischen Testdatengenerators entwickeln (geplante Etappe 2/4),Architektur des synthetischen Testdatengenerators entwickeln,Generator-Design,8,AP,AP2
2026-10-16,Freitag,42,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Architektur des synthetischen Testdatengenerators entwickeln (geplante Etappe 3/4),Architektur des synthetischen Testdatengenerators entwickeln,Generator-Design,8,AP,AP2
2026-10-19,Montag,43,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Architektur des synthetischen Testdatengenerators entwickeln (geplante Etappe 4/4),Architektur des synthetischen Testdatengenerators entwickeln,Generator-Design,8,AP,AP2
2026-10-20,Dienstag,43,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Basisdokumente und konfliktfreie Szenarien implementieren (geplante Etappe 1/5),Generator für Basisdokumente und konfliktfreie Szenarien implementieren,Generator v1,8,AP,AP2
2026-10-21,Mittwoch,43,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Basisdokumente und konfliktfreie Szenarien implementieren (geplante Etappe 2/5),Generator für Basisdokumente und konfliktfreie Szenarien implementieren,Generator v1,8,AP,AP2
2026-10-22,Donnerstag,43,2026,10,AP2,"Benchmarkmethodik, Testdatengenerator und Ground Truth",Generator für Basisdokumente und konfliktfreie Szenarien implementieren (geplante Etappe 3/5),Generator für Basisdokumente und konfliktfreie Szenarien implementieren,Generator v1,8,AP,AP2
